item_id,merchant_id,restaurant_name,base_name,proposed_ru_name,existing_ru_name,existing_tk_name,proposed_en_name,proposed_tk_name,name_notes,base_short_description,proposed_ru_short_description,existing_ru_short_description,existing_tk_short_description,proposed_en_short_description,proposed_tk_short_description,short_description_notes
66,3,BURGER 160°,Блэк чизбургер,Блэк чизбургер,,,Black cheeseburger,Gara peýnir,,"Булочка бриошь, котлета говяжая, сыр плавленый, помидоры, лист салата, огурец солёный, лук репчатый, соуса","Булочка бриошь, котлета говяжья, сыр плавленый, помидоры, лист салата, огурец солёный, лук репчатый, соуса",,,"Brioche bun, beef cutlet, processed cheese, tomatoes, lettuce, pickled cucumber, onion, sauce","Brioche çöregi, sygyr eti, gaýtadan işlenen peýnir, pomidor, salat, duzlanan hyýar, sogan, sous",language-tool:short_description | Возможно найдена орфографическая ошибка.
67,3,BURGER 160°,Блэк бургер,Блэк бургер,,,Black burger,Gara burger,,"Булочка бриошь, котлета говяжая, помидоры, лист салата, огурец солёный, лук репчатый, соуса","Булочка бриошь, котлета говяжья, помидоры, лист салата, огурец солёный, лук репчатый, соуса",,,"Brioche bun, beef cutlet, tomatoes, lettuce, pickled cucumber, onion, sauce","Brioche çöregi, sygyr eti, pomidor, salat, duzlanan hyýar, sogan, sous",language-tool:short_description | Возможно найдена орфографическая ошибка.
68,3,BURGER 160°,Бифбургер с овощами гриль,Чизбургер с овощами гриль,,,Cheeseburger with grilled vegetables,Gril gök önümler bilen peýnir,language-tool:name | Возможно найдена орфографическая ошибка.,"Булочка бриошь, стейк, лист салата, овощи на гриле, лук, солённые огурецы, соуса","Булочка бриошь, стейк, лист салата, овощи на гриле, лук, солёные огурец, соуса",,,"Brioche bun, steak, lettuce, grilled vegetables, onion, pickles, sauce","Brioche çöregi, biftek, salat, panjara gök önümler, sogan, duz, sous",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
69,3,BURGER 160°,Стейкбургер,Стейкбургер,,,Steakburger,Steakburger,,"Булочка бриошь, стейк, сыр плавленый, огурец солёный, помидоры, лист салата, лук репчатый, соуса","Булочка бриошь, стейк, сыр плавленый, огурец солёный, помидоры, лист салата, лук репчатый, соуса",,,"Brioche bun, steak, processed cheese, pickled cucumber, tomatoes, lettuce, onion, sauce","Brioche çöregi, biftek, gaýtadan işlenen peýnir, duzlanan hyýar, pomidor, salat, sogan, sous",
70,3,BURGER 160°,Бургер XXL,Бургер ХХL,,,Burger XXL,Burger XXL,mixed-script,"Булочка бриошь, котлеты говяжие, сыр плавленый, огурец солёный, помидоры, лист салата, лук репчатый, соуса","Булочка бриошь, котлеты говяжий, сыр плавленый, огурец солёный, помидоры, лист салата, лук репчатый, соуса",,,"Brioche bun, beef cutlets, processed cheese, pickled cucumber, tomatoes, lettuce, onion, sauce","Brioche çöregi, sygyr eti, gaýtadan işlenen peýnir, duzlanan hyýar, pomidor, salat, sogan, sous",language-tool:short_description | Возможно найдена орфографическая ошибка.
72,4,SUSHI.GOOD,Запеченные роллы сакура,Запеченные роллы сакура,,,Baked sakura rolls,Bişirilen sakura rulonlary,,"Рис, нори, икра летучей рыбы, крем сыр, лосось, сырный соус","Рис, норе, икра летучей рыбы, крем сыр, лосось, сырный соус",,,"Rice, nore, flying fish caviar, cream cheese, salmon, cheese sauce","Tüwi, adaty, uçýan balyk ikri, krem ​​peýniri, losos, peýnir sousy",language-tool:short_description | Возможно найдена орфографическая ошибка.
73,4,SUSHI.GOOD,Филадельфия грин,Филадельфия грин,,,Philadelphia green,Filadelfiýa ýaşyl,,"Рис, крем сыр, огурец, чука водоросли, нори, кунжут","Рис, крем сыр, огурец, рука водоросли, норе, кунжут",,,"Rice, cream cheese, cucumber, seaweed hand, nore, sesame","Tüwi, krem ​​peýniri, hyýar, deňiz ösümlik eli, burun, künji",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
74,4,SUSHI.GOOD,Филадельфия гриль,Филадельфия гриль,,,Philadelphia grill,Filadelfiýa gril,,"Рис, нори, лосось, огурец, крем сыр, икра летучей рыбы","Рис, норе, лосось, огурец, крем сыр, икра летучей рыбы",,,"Rice, nore, salmon, cucumber, cream cheese, flying fish caviar","Tüwi, adaty, losos, hyýar, krem ​​peýniri, uçýan balyk ikri",language-tool:short_description | Возможно найдена орфографическая ошибка.
75,4,SUSHI.GOOD,"Сет ""Лосось"" 24 шт","Сет ""Лосось"" 24 шт",,,"Set ""Salmon"" 24 pcs","""Salmon"" 24 sany sazlaň",,"Филадельфия - 4 шт, Филадельфия гриль - 4 шт, Сяки маки - 8 шт, Филадельфия лайт - 8 шт","Филадельфия - 4 шт., Филадельфия гриль - 4 шт., Бяке маки - 8 шт., Филадельфия сайт - 8 шт",,,"Philadelphia - 4 pcs., Philadelphia grill - 4 pcs., Byake maki - 8 pcs., Philadelphia site - 8 pcs.","Filadelfiýa - 4 sany, Filadelfiýa panjarasy - 4 sany, Byake maki - 8 sany, Filadelfiýa saýty - 8 sany.",language-tool:short_description | Точка должна стоять после сокращений: «шт.» | Точка должна стоять после сокращений: «шт.» | Возможно найдена орфографическая ошибка.
76,4,SUSHI.GOOD,"Сет ""Филадельфия"" 32 шт","Сет ""Филадельфия"" 32 шт",,,"Set ""Philadelphia"" 32 pcs","""Filadelfiýa"" 32 sany sazlaň",,"Филадельфия лайт - 8 шт, Филадельфия роял - 8 шт, Филадельфия грин - 8 шт, Филадельфия гриль - 8 шт","Филадельфия сайт - 8 шт., Филадельфия рояль - 8 шт., Филадельфия грин - 8 шт., Филадельфия гриль - 8 шт",,,"Philadelphia site - 8 pcs., Philadelphia royal - 8 pcs., Philadelphia green - 8 pcs., Philadelphia grill - 8 pcs.","Filadelfiýa saýty - 8 sany, Filadelfiýa şasy - 8 sany, Filadelfiýa ýaşyl - 8 sany, Filadelfiýa panjarasy - 8 sany.",language-tool:short_description | Возможно найдена орфографическая ошибка. | Точка должна стоять после сокращений: «шт.» | Возможно найдена орфографическая ошибка.
77,4,SUSHI.GOOD,"Сет ""Калифорния"" 32 шт","Сет ""Калифорния"" 32 шт",,,"Set ""California"" 32 pcs","""Kaliforniýa"" 32 sany sazlaň",,"Калифорния с крабом - 8 шт, Калифорния с лососем - 8 шт, Калифорния с креветками - 8 шт, Калифорния с угрём - 8 шт","Калифорния с крабом - 8 шт., Калифорния с лососем - 8 шт., Калифорния с креветками - 8 шт., Калифорния с угрём - 8 шт",,,"California with crab - 8 pcs., California with salmon - 8 pcs., California with shrimp - 8 pcs., California with eel - 8 pcs.","Gyrgyçly Kaliforniýa - 8 sany, Kaliforniýa losos bilen - 8 sany, Kaliforniýa gysga - 8 sany, Kaliforniýa - 8 sany.",language-tool:short_description | Точка должна стоять после сокращений: «шт.» | Точка должна стоять после сокращений: «шт.» | Точка должна стоять после сокращений: «шт.»
78,4,SUSHI.GOOD,"Сет ""Жара"" 32 шт","Сет ""Жара"" 32 шт",,,"Set ""Heat"" 32 pcs","""Atylylyk"" 32 sany sazlaň",,"Темпура микс - 8 шт, Запечённые роллы с курицей - 8 шт, Запечённые роллы с сыром - 8 шт, Спайс ролл с тунцом - 8 шт","Тимура микс - 8 шт., Запечённые роллы с курицей - 8 шт., Запечённые роллы с сыром - 8 шт., Пайс ролл с тунцом - 8 шт",,,"Timura mix - 8 pcs., Baked rolls with chicken - 8 pcs., Baked rolls with cheese - 8 pcs., Pie roll with tuna - 8 pcs.","Timura garyndysy - 8 sany, towuk bilen bişirilen rulonlar - 8 sany, peýnir bilen bişirilen rulonlar - 8 sany, tunes bilen pirog - 8 sany.",language-tool:short_description | Возможно найдена орфографическая ошибка. | Точка должна стоять после сокращений: «шт.» | Точка должна стоять после сокращений: «шт.»
79,4,SUSHI.GOOD,Роллы футомаки с лососем,Роллы футом аки с лососем,,,Ackee foot rolls with salmon,Ackee aýagy losos bilen aýlanýar,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, огурец, нори, крем сыр, лосось, крабовые палочки 8шт","Рис, огурец, норе, крем сыр, лосось, крабовые палочки 8шт",,,"Rice, cucumber, nore, cream cheese, salmon, crab sticks 8pcs","Tüwi, hyýar, burun, krem ​​peýniri, losos, gyrgyç taýaklary 8 sany",language-tool:short_description | Возможно найдена орфографическая ошибка.
80,4,SUSHI.GOOD,Роллы футомаки с креветками,Роллы футом аки с креветками,,,Ackee foot rolls with shrimp,Ackee aýagy kepir bilen aýlanýar,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, креветки, огурецы, крем сыр, крабовые палочки 8шт","Рис, норе, креветки, огурец, крем сыр, крабовые палочки 8шт",,,"Rice, nore, shrimp, cucumber, cream cheese, crab sticks 8pcs","Tüwi, burun, kepir, hyýar, krem ​​peýniri, gyrgyç taýaklary 8 sany",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
81,4,SUSHI.GOOD,Роллы футомаки с тунцом,Роллы футом аки с тунцом,,,Foot ackee rolls with tuna,Aýak akkusy tuna bilen togalanýar,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, тунец, нори, огурецы, крабовые палочки, крем сыр 8шт","Рис, тунец, норе, огурец, крабовые палочки, крем сыр 8шт",,,"Rice, tuna, nore, cucumber, crab sticks, cream cheese 8pcs","Tüwi, tuna, burun, hyýar, gyrgyç taýaklary, krem ​​peýniri 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
82,4,SUSHI.GOOD,Роллы футомаки с угрём,Роллы футом аки с угрём,,,Aki foot rolls with eel,Aki aýagy daban bilen aýlanýar,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, угорь, крем сыр, огурецы, крабовые палочки 8шт","Рис, норе, угорь, крем сыр, огурец, крабовые палочки 8шт",,,"Rice, nore, eel, cream cheese, cucumber, crab sticks 8pcs","Tüwi, burun, öküz, krem ​​peýniri, hyýar, gyrgyç taýaklary 8 sany",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
83,4,SUSHI.GOOD,Калифорния с мидиями,Калифорния с мидиями,,,California with mussels,Kaliforniýa midýa bilen,,"Рис, лосось, огурец, нори, крабовые палочки, спайс соус, икра летучей рыбы 8шт","Рис, лосось, огурец, норе, крабовые палочки, спас соус, икра летучей рыбы 8шт",,,"Rice, salmon, cucumber, nore, crab sticks, spas sauce, flying fish caviar 8pcs","Tüwi, losos, hyýar, burun, gyrgyç taýaklary, spas sousy, uçýan balyk ikri 8pcs",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
84,4,SUSHI.GOOD,Калифорния с лососем,Калифорния с лососем,,,California with salmon,Kaliforniýa losos bilen,,"Рис, лосось, огурец, нори, крабовые палочки, спайс соус, икра летучей рыбы 8шт","Рис, лосось, огурец, норе, крабовые палочки, спас соус, икра летучей рыбы 8шт",,,"Rice, salmon, cucumber, nore, crab sticks, spas sauce, flying fish caviar 8pcs","Tüwi, losos, hyýar, burun, gyrgyç taýaklary, spas sousy, uçýan balyk ikri 8pcs",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
85,4,SUSHI.GOOD,Калифорния с угрём,Калифорния с угрём,,,California with eel,Kaliforniýa,,"Рис, угорь, нори, огурец, крабовые палочки, спайс соус, кунжут 8шт","Рис, угорь, норе, огурец, крабовые палочки, спас соус, кунжут 8шт",,,"Rice, eel, nore, cucumber, crab sticks, spas sauce, sesame 8pcs","Tüwi, öküz, burun, hyýar, gyrgyç taýaklary, spas sousy, künji 8pc",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
86,4,SUSHI.GOOD,Калифорния с креветкой,Калифорния с креветкой,,,California with shrimp,Kaliforniýa karides bilen,,"Рис, нори, креветки, огурецы, крабовые палочки, спайс соус, икра летучей рыбы 8шт","Рис, норе, креветки, огурец, крабовые палочки, спас соус, икра летучей рыбы 8шт",,,"Rice, nore, shrimp, cucumber, crab sticks, saved sauce, flying fish caviar 8pcs","Tüwi, burun, gysga, hyýar, gyrgyç taýaklary, halas edilen sous, uçýan balyk ikri 8pcs",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
87,4,SUSHI.GOOD,Калифорния с тунцом,Калифорния с тунцом,,,California with tuna,Kaliforniýa tuna bilen,,"Рис, нори, тунец, огурец, крабовые палочки, спайс соус, икра летучей рыбы 8шт","Рис, норе, тунец, огурец, крабовые палочки, спас соус, икра летучей рыбы 8шт",,,"Rice, nore, tuna, cucumber, crab sticks, spas sauce, flying fish caviar 8pcs","Tüwi, burun, tuna, hyýar, gyrgyç taýaklary, spas sousy, uçýan balyk ikri 8pcs",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
88,4,SUSHI.GOOD,Маки с угрём,Маки с угрём,,,Maki with eel,Maki dabany bilen,,"Рис, нори, угорь, соус унаги, кунжут 8шт","Рис, норе, угорь, соус аннаги, кунжут 8шт",,,"Rice, nore, eel, annagi sauce, sesame 8pcs","Tüwi, burun, eel, annagi sousy, künji 8pc",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
89,4,SUSHI.GOOD,Маки с огурцом,Маки с огурцом,,,Maki with cucumber,Maki hyýar bilen,,"Рис, огурец, нори, кунжут 8шт","Рис, огурец, норе, кунжут 8шт",,,"Rice, cucumber, nore, sesame 8pcs","Tüwi, hyýar, burun, künji 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка.
90,4,SUSHI.GOOD,Маки с тунцом,Маки с тунцом,,,Tuna Maki,Tuna Maki,,"Рис, нори, тунец, соус чили 8шт","Рис, норе, тунец, соус чили 8шт",,,"Rice, nore, tuna, chili sauce 8pcs","Tüwi, burun, tuna, çili sousy 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка.
91,4,SUSHI.GOOD,Маки с лососем,Маки с лососем,,,Maki with salmon,Sogan bilen maki,,"Рис, нори, лосось, соус чили 8шт","Рис, норе, лосось, соус чили 8шт",,,"Rice, nore, salmon, chili sauce 8pcs","Tüwi, adaty, losos, çili sousy 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка.
92,4,SUSHI.GOOD,Маки с креветкой,Маки с креветкой,,,Maki with shrimp,Maki karides bilen,,"Рис, креветки, нори, спайс соус 8шт","Рис, креветки, норе, спас соус 8шт",,,"Rice, shrimp, nore, saved sauce 8pcs","Tüwi, kepir, burun, tygşytlanan sous 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
93,4,SUSHI.GOOD,Запеченные роллы с угрем,Запеченные роллы с угрем,,,Baked rolls with eel,Eel bilen bişirilen rulonlar,,"Рис, угорь, нори, огурец, крем сыр, спайс соус, унаги соус, кунжут 8шт","Рис, угорь, норе, огурец, крем сыр, спас соус, аннаги соус, кунжут 8шт",,,"Rice, eel, nore, cucumber, cream cheese, spas sauce, annagi sauce, sesame 8pcs","Tüwi, öküz, burun, hyýar, krem ​​peýniri, spas sousy, annagi sousy, künji 8pcs",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
94,4,SUSHI.GOOD,Запеченные роллы с сыром,Запеченные роллы с сыром,,,Baked rolls with cheese,Peýnir bilen bişirilen rulonlar,,"Рис, Нори, огурец, крем сыр, сырный соус 8шт","Рис, Море, огурец, крем сыр, сырный соус 8шт",,,"Rice, Sea, cucumber, cream cheese, cheese sauce 8pcs","Tüwi, deňiz, hyýar, krem ​​peýniri, peýnir sousy 8 sany",language-tool:short_description | Возможно найдена орфографическая ошибка.
95,4,SUSHI.GOOD,Запеченные роллы с мидии,Запеченные роллы с мидии,,,Baked rolls with mussels,Midýa bilen bişirilen rulonlar,,"Рис, нори, мидия, огурец, лук зеленый, лимон, крем сыр, спайс соус 8шт","Рис, норе, мидия, огурец, лук зеленый, лимон, крем сыр, спас соус 8шт",,,"Rice, nore, mussel, cucumber, green onion, lemon, cream cheese, saved sauce 8pcs","Tüwi, burun, midýa, hyýar, ýaşyl sogan, limon, krem ​​peýniri, tygşytlanan sous 8pc",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
96,4,SUSHI.GOOD,запеченные роллы с лососем,Запеченные роллы с лососем,,,Baked salmon rolls,Bişirilen losos rulonlary,language-tool:name | Это предложение не начинается с заглавной буквы.,"Рис, нори, лосось, огурец, крем сыр, спайс соус 8шт","Рис, норе, лосось, огурец, крем сыр, спас соус 8шт",,,"Rice, nore, salmon, cucumber, cream cheese, saved sauce 8pcs","Tüwi, burun, losos, hyýar, krem ​​peýniri, tygşytlanan sous 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
97,4,SUSHI.GOOD,Запеченные роллы с курицей,Запеченные роллы с курицей,,,Baked rolls with chicken,Towuk bilen bişirilen rulonlar,,"Рис, нори, курица, огурец, крем сыр, сырный соус, кунжут 8шт","Рис, норе, курица, огурец, крем сыр, сырный соус, кунжут 8шт",,,"Rice, nore, chicken, cucumber, cream cheese, cheese sauce, sesame 8pcs","Tüwi, adaty, towuk, hyýar, krem ​​peýniri, peýnir sousy, künji 8pc",language-tool:short_description | Возможно найдена орфографическая ошибка.
98,4,SUSHI.GOOD,Запеченные роллы с креветками,Запеченные роллы с креветками,,,Baked shrimp rolls,Bişirilen karides rulonlary,,"Рис, нори, креветки, огурецы, крем сыр, спайс соус 8шт","Рис, норе, креветки, огурец, крем сыр, спас соус 8шт",,,"Rice, nore, shrimp, cucumber, cream cheese, saved sauce 8pcs","Tüwi, burun, kepir, hyýar, krem ​​peýniri, tygşytlanan sous 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
99,4,SUSHI.GOOD,"Роллы ""Золотой Дракон""","Роллы ""Золотой Дракон""",,,"Rolls ""Golden Dragon""","""Altyn aagondarha""",,"Рис, угорь, огурец, крабовые палочки, соус унаги, кунжут 8шт","Рис, угорь, огурец, крабовые палочки, соус аннаги, кунжут 8шт",,,"Rice, eel, cucumber, crab sticks, annagi sauce, sesame 8pcs","Tüwi, öküz, hyýar, gyrgyç taýaklary, annagi sousy, künji 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка.
100,4,SUSHI.GOOD,Филадельфия,Филадельфия,,,Philadelphia,Filadelfiýa,,"Рис, нори, лосось, огурец, крем сыр, икра летучей рыбы 8шт","Рис, норе, лосось, огурец, крем сыр, икра летучей рыбы 8шт",,,"Rice, nore, salmon, cucumber, cream cheese, flying fish caviar 8pcs","Tüwi, burun, losos, hyýar, krem ​​peýniri, uçýan balyk ikri 8pc",language-tool:short_description | Возможно найдена орфографическая ошибка.
101,4,SUSHI.GOOD,Филадельфия с тунцом,Филадельфия с тунцом,,,Philadelphia with tuna,Tuna bilen Filadelfiýa,,"Рис, нори, тунец, огурец, крем сыр, соус чили 8шт","Рис, норе, тунец, огурец, крем сыр, соус чили 8шт",,,"Rice, nore, tuna, cucumber, cream cheese, chili sauce 8pcs","Tüwi, burun, tuna, hyýar, krem ​​peýniri, çili sousy 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка.
102,4,SUSHI.GOOD,Филадельфия лайт,Филадельфия сайт,,,Philadelphia site,Filadelfiýa saýty,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, лосось, нори, крабовые палочки, крем сыр 8шт","Рис, лосось, норе, крабовые палочки, крем сыр 8шт",,,"Rice, salmon, nore, crab sticks, cream cheese 8pcs","Tüwi, losos, burun, gyrgyç taýaklary, krem ​​peýniri 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка.
103,4,SUSHI.GOOD,Филадельфия роял,Филадельфия рояль,,,Philadelphia piano,Filadelfiýa pianino,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, лосось, огурец, крабовые палочки, крем сыр 8шт","Рис, норе, лосось, огурец, крабовые палочки, крем сыр 8шт",,,"Rice, nore, salmon, cucumber, crab sticks, cream cheese 8pcs","Tüwi, burun, losos, hyýar, gyrgyç taýaklary, krem ​​peýniri 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка.
104,4,SUSHI.GOOD,Филадельфия с креветкой,Филадельфия с креветкой,,,Philadelphia with shrimp,Kiçijik Filadelfiýa,,"Рис, нори, креветки, огурец, крем сыр, соус унаги 8шт","Рис, норе, креветки, огурец, крем сыр, соус аннаги 8шт",,,"Rice, nore, shrimp, cucumber, cream cheese, annagi sauce 8pcs","Tüwi, burun, gysga, hyýar, krem ​​peýniri, annagi sousy 8pc",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
105,4,SUSHI.GOOD,Филадельфия дабл чиз,Филадельфия добл из,,,Philadelphia doble out,Filadelfiýa çykdy,language-tool:name | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.,"Рис, нори, курица, крем сыр, плавленный сыр, спайс соус 8шт","Рис, норе, курица, крем сыр, плавленный сыр, спас соус 8шт",,,"Rice, nore, chicken, cream cheese, processed cheese, saved sauce 8pcs","Tüwi, burun, towuk, krem ​​peýniri, gaýtadan işlenen peýnir, tygşytlanan sous 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
106,4,SUSHI.GOOD,Филадельфия с угрем,Филадельфия с угрем,,,Philadelphia with eel,Filadelfiýa,,"Рис, нори, угорь, огурец, крем сыр, соус унаги, кунжут 8шт","Рис, норе, угорь, огурец, крем сыр, соус аннаги, кунжут 8шт",,,"Rice, nore, eel, cucumber, cream cheese, annagi sauce, sesame 8pcs","Tüwi, burun, öküz, hyýar, krem ​​peýniri, annagi sousy, künji 8pc",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
107,4,SUSHI.GOOD,Калифорния с крабом и икрой летучей рыбы,Калифорния с крабом и икрой летучей рыбы,,,California with crab and flying fish caviar,Gyrgyç we uçýan balyk ikri bilen Kaliforniýa,,"Рис, нори, крабовые палочки, огурец, икра летучей рыбы, кунжут 8шт","Рис, норе, крабовые палочки, огурец, икра летучей рыбы, кунжут 8шт",,,"Rice, nore, crab sticks, cucumber, flying fish caviar, sesame 8pcs","Tüwi, burun, gyrgyç taýaklary, hyýar, uçýan balyk ikri, künji 8pc",language-tool:short_description | Возможно найдена орфографическая ошибка.
108,4,SUSHI.GOOD,Калифорния с крабом,Калифорния с крабом,,,California with crab,Gyrgyçly Kaliforniýa,,"Рис, нори, огурец, крабовые палочки, спайс соус, кунжут 8шт","Рис, норе, огурец, крабовые палочки, спас соус, кунжут 8шт",,,"Rice, nore, cucumber, crab sticks, spas sauce, sesame 8pcs","Tüwi, burun, hyýar, gyrgyç taýaklary, spas sousy, künji 8 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
109,4,SUSHI.GOOD,Гункан с лососем,Дункан с лососем,,,Duncan with salmon,Sogan bilen Dankan,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, лосось, спайс соус, икра летучей рыбы 2шт","Рис, норе, лосось, спас соус, икра летучей рыбы 2шт",,,"Rice, nore, salmon, saved sauce, flying fish roe 2pcs","Tüwi, adaty, losos, tygşytlanan sous, uçýan balyk köke 2pc",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
110,4,SUSHI.GOOD,Гункан с крабом,Дункан с крабом,,,Duncan with crab,Gyrgyç bilen Dankan,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, крабовые палочки, спайс соус, соус унаги 2шт","Рис, норе, крабовые палочки, спас соус, соус аннаги 2шт",,,"Rice, nore, crab sticks, saved sauce, annagi sauce 2pcs","Tüwi, burun, gyrgyç taýaklary, tygşytlanan sous, annagi sousy 2 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
111,4,SUSHI.GOOD,Гункан с курицей,Дункан с курицей,,,Duncan with chicken,Towuk bilen Dankan,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, курица, спайс соус, соус унаги 2шт","Рис, норе, курица, спас соус, соус аннаги 2шт",,,"Rice, nore, chicken, saved sauce, annagi sauce 2pcs","Tüwi, burun, towuk, tygşytlanan sous, annagi sousy 2 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
112,4,SUSHI.GOOD,Гункан с угрём,Дункан с угрём,,,Duncan with eel,Dankan,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, угорь, спайс соус, соус унаги, кунжут 2шт","Рис, норе, угорь, спас соус, соус аннаги, кунжут 2шт",,,"Rice, nore, eel, saved sauce, annagi sauce, sesame 2pcs","Tüwi, burun, öküz, tygşytlanan sous, annagi sousy, künji 2 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
113,4,SUSHI.GOOD,Гункан с креветкой,Дункан с креветкой,,,Duncan with shrimp,Garpyz bilen Dankan,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, креветка, спайс соус, икра летучей рыбы 2шт","Рис, норе, креветка, спас соус, икра летучей рыбы 2шт",,,"Rice, nore, shrimp, saved sauce, flying fish roe 2pcs","Tüwi, burun, kepir, tygşytlanan sous, uçýan balyk köke 2pc",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
114,4,SUSHI.GOOD,Гункан с тунцом,Дункан с тунцом,,,Duncan with tuna,Tuna bilen Dankan,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, тунец, спайс соус 2шт","Рис, норе, тунец, спас соус 2шт",,,"Rice, nore, tuna, saved sauce 2pcs","Tüwi, nore, tuna, tygşytlanan sous 2 nahar",language-tool:short_description | Возможно найдена орфографическая ошибка. | Возможно найдена орфографическая ошибка.
115,4,SUSHI.GOOD,Гункан Инь-Янь,Дункан Инь-Янь,,,Duncan Yin-Yang,Dankan inin-Yangang,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, огурец, икра летучей рыбы 2шт","Рис, норе, огурец, икра летучей рыбы 2шт",,,"Rice, nore, cucumber, flying fish roe 2pcs","Tüwi, burun, hyýar, uçýan balyk köke 2pc",language-tool:short_description | Возможно найдена орфографическая ошибка.
116,4,SUSHI.GOOD,Гункан Инь-Янь,Дункан Инь-Янь,,,Duncan Yin-Yang,Dankan inin-Yangang,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, огурец, икра летучей рыбы 2шт","Рис, норе, огурец, икра летучей рыбы 2шт",,,"Rice, nore, cucumber, flying fish roe 2pcs","Tüwi, adaty, hyýar, uçýan balyk köke 2pc",language-tool:short_description | Возможно найдена орфографическая ошибка.
117,4,SUSHI.GOOD,Гункан Грин,Дункан Грин,,,Duncan Green,Dankan Green,language-tool:name | Возможно найдена орфографическая ошибка.,"Рис, нори, огурец, крем сыр, икра летучей рыбы 2шт","Рис, норе, огурец, крем сыр, икра летучей рыбы 2шт",,,"Rice, nore, cucumber, cream cheese, flying fish caviar 2pcs","Tüwi, adaty, hyýar, krem ​​peýniri, uçýan balyk ikri 2pc",language-tool:short_description | Возможно найдена орфографическая ошибка.
